x_value,channel_1,channel_2,channel_3
1410,1023,766,636
1411,1023,771,612
1412,1023,775,618
1413,1022,795,656
1414,1023,801,625
1415,1023,771,630
1416,1023,747,646
1417,1022,743,628
1418,1022,758,629
1419,1023,767,640
1420,1023,771,619
1421,1023,779,625
1422,1022,800,613
1423,1023,793,656
1424,1022,764,688
1425,1022,737,644
1426,1023,748,625
1427,1023,762,624
1428,1023,768,592
1429,1022,766,647
1430,1022,784,642
1431,1023,804,627
1432,1023,785,651
1433,1023,756,678
1434,1023,738,634
1435,1023,754,626
1436,1023,764,628
1437,1023,768,600
1438,1023,771,606
1439,1023,794,648
1440,1023,800,620
1441,1022,772,634
1442,1023,745,644
1443,1023,744,623
1444,1023,760,625
1445,1022,763,633
1446,1023,768,607
1447,1023,778,619
1448,1023,802,615
1449,1023,793,656
1450,1022,764,687
1451,1022,740,647
1452,1023,751,636
1453,1023,765,636
1454,1022,769,602
1455,1023,772,609
1456,1022,787,637
1457,1023,806,632
1458,1023,786,656
1459,1023,758,683
1460,1022,739,637
1461,1022,755,630
1462,1023,767,638
1463,1023,772,614
1464,1022,776,618
1465,1023,800,611
1466,1022,798,662
1467,1022,772,648
1468,1023,744,643
1469,1023,746,626
1470,1023,763,634
1471,1023,769,591
1472,1023,771,603
1473,1023,782,625
1474,1023,804,622
1475,1023,794,661
1476,1023,767,697
1477,1022,741,652
1478,1022,750,633
1479,1023,766,636
1480,1022,768,599
1481,1023,771,606
1482,1022,787,636
1483,1022,802,622
1484,1023,784,647
1485,1022,755,673
1486,1023,742,637
1487,1022,756,633
1488,1023,767,640
1489,1022,768,605
1490,1023,774,614
1491,1022,794,651
1492,1023,800,621
1493,1023,775,642
1494,1023,747,651
1495,1022,744,624
1496,1022,758,625
1497,1022,763,632
1498,1023,770,613
1499,1023,780,623
1500,1023,802,618
1501,1022,790,654
1502,1022,764,686
1503,1023,742,651
1504,1023,753,639
1505,1023,766,638
1506,1023,771,608
1507,1023,771,608
1508,1023,789,641
1509,1022,802,623
1510,1022,782,644
1511,1022,754,669
1512,1022,739,632
1513,1022,754,627
1514,1022,764,631
1515,1023,771,611
